 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Procedimento: 0102010501 ATIVIDADES EDUCATIVAS SOBRE A TEMÁTICA DA DENGUE,REALIZADAS PARA A POPULAÇÃO, 0213010119 HISTOPATOLOGIA P/ IDENTIFICACAO DE DENGUE, 0213010330 IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA DENGUE, 0213010380 ISOLAMENTO DO VIRUS DA DENGUE, 0213010674 TESTE DE HIBRIDIZACAO IN SITU P/ IDENTIFICACAO DO VIRUS DA DENGUE, 0214010120 TESTE RÁPIDO PARA DENGUE IGG/IGM, 0303010010 TRATAMENTO DE DENGUE CLÁSSICA, 0303010029 TRATAMENTO DE DENGUE HEMORRÁGICA
Período:2019-2020
"Unidade da Federação";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"11 Rondônia";8393,64;6788,43;10316,46;8655,70;9969,01;32479,55;16153,93;9646,03;8142,14;8017,42;9546,53;17717,14;28416,83;34404,56;34899,54;19422,63;9102,91;10620,72;8769,82;3314,38;4490,35;3393,81;3022,18;7026,13;312709,84
"12 Acre";12641,03;10787,83;16354,11;2390,08;7270,85;6005,50;6376,32;2783,38;3775,97;5273,46;15112,99;26757,58;21790,82;28349,74;10571,13;11312,51;8372,68;1712,81;3075,87;-;2449,29;1800,07;5992,51;13048,09;224004,62
"13 Amazonas";1924,05;1726,56;2523,00;3723,16;1638,68;4078,88;2014,25;950,23;295,76;2135,73;3951,70;13873,25;16529,24;17295,44;15005,81;8832,56;5147,50;7010,77;4952,06;6543,99;3474,87;4218,98;6734,44;11178,14;145759,05
"14 Roraima";668,26;1235,55;4898,67;2923,65;726,04;896,69;1086,99;1926,07;1704,05;5987,91;12931,41;11582,33;16358,58;7578,64;6659,06;1633,15;287,76;550,05;-;825,55;-;-;-;-;80460,41
"15 Pará";25698,98;38919,08;41564,76;53180,08;59702,15;28144,35;20101,74;32544,16;16650,56;19733,37;20430,81;10163,67;30454,34;45490,85;52312,96;32160,17;14866,71;5148,69;10681,33;5412,31;3849,57;2119,09;2949,60;5172,84;577452,17
"16 Amapá";1001,94;287,76;622,22;-;1062,10;648,25;1737,79;287,76;-;1215,04;663,52;295,76;623,52;-;829,47;311,76;287,76;349,70;-;-;-;-;-;-;10224,35
"17 Tocantins";22169,10;36890,55;31439,19;37560,06;29039,49;31980,52;9799,64;7572,79;5420,17;3184,80;962,05;1843,86;5800,30;8512,43;4029,34;3703,97;4577,32;3556,87;3375,36;344,45;287,76;287,76;287,76;575,52;253201,06
"21 Maranhão";17801,60;35885,28;56984,83;110161,88;130520,58;104180,55;64346,24;44418,07;32515,57;18760,12;12704,06;12828,10;21461,25;43475,26;40418,85;19806,62;21801,61;18495,72;12205,16;8185,52;7427,28;3968,73;1167,04;2253,52;841773,44
"22 Piauí";6008,71;9560,45;8977,17;26771,09;68516,21;65488,10;43233,53;17242,30;8733,89;4228,90;4911,88;2113,68;3949,01;2988,61;5045,53;4769,86;5457,59;6280,23;2654,04;4291,00;1230,40;913,23;-;607,52;303972,93
"23 Ceará";12193,53;18495,13;27928,21;50997,77;87186,07;89830,02;70839,86;74079,78;44475,19;31464,62;19068,98;17786,43;23910,99;36202,81;75550,02;88357,15;62911,03;81499,34;80827,02;50205,47;31573,35;17264,70;21872,01;28835,25;1143354,73
"24 Rio Grande do Norte";6460,65;5069,24;4048,74;15596,24;38350,21;42292,24;49990,07;25032,24;37891,85;12798,57;6432,16;5949,78;8328,06;5277,85;5435,74;7018,12;5696,44;3084,96;3999,82;3462,01;1192,45;401,77;709,67;1203,29;295722,17
"25 Paraíba";9830,27;9429,65;24949,40;41226,67;87939,02;88803,65;86882,34;65554,45;27378,18;27729,09;13789,28;6346,20;5125,17;12829,25;6678,05;8454,99;10763,88;16874,60;25652,75;13666,28;9702,55;5740,81;3620,98;1986,02;610953,53
